tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt6470924,movie,Berlin Alexanderplatz,Berlin Alexanderplatz,0,2020,,183,"Crime,Drama,Thriller",6.9,4329
tt6471054,movie,Ajji,Ajji,0,2017,,104,"Crime,Drama",6.8,2030
tt6471264,movie,Suck Me Shakespeer 3,Fack ju Göhte 3,0,2017,,120,Comedy,5.4,8882
tt6471684,movie,Operation Carwash: A Worldwide Corruption Scandal Made in Brazil,Polícia Federal: A Lei é para Todos,0,2017,,107,"Action,Crime,Thriller",6.4,3637
tt6472976,movie,Five Feet Apart,Five Feet Apart,0,2019,,116,"Drama,Romance",7.2,97600
tt6473066,movie,Clouds,Clouds,0,2020,,121,"Biography,Drama,Music",7.5,12934
tt6474040,movie,Stockholm,Stockholm,0,2018,,92,"Biography,Comedy,Crime",6.1,15959
tt6474626,movie,Body Electric,Corpo Elétrico,0,2017,,94,Drama,6.1,1058
tt6475714,movie,Monster Hunter,Monster Hunter,0,2020,,103,"Action,Adventure,Fantasy",5.2,75528
tt6476140,movie,Serenity,Serenity,0,2019,,106,"Drama,Mystery,Thriller",5.4,49629
tt6479178,movie,Picture of Beauty,Picture of Beauty,0,2017,,70,"Drama,Romance",3.5,2603
tt6479534,movie,Miss Baek,Mi-sseu-baek,0,2018,,98,"Crime,Drama,Thriller",6.8,1478
tt6481232,movie,Scream for Me Sarajevo,Scream for Me Sarajevo,0,2017,,95,"Documentary,Music,War",8.6,1504
tt6481478,movie,Great Minds,Les grands esprits,0,2017,,106,"Comedy,Drama",6.7,1631
tt6483364,movie,Teen Spirit,Teen Spirit,0,2018,,93,"Drama,Music",6.1,10436
tt6483422,movie,They Reach,They Reach,0,2020,,87,"Adventure,Comedy,Horror",4.5,1372
tt6484982,movie,Newton,Newton,0,2017,,106,"Comedy,Drama",7.6,22468
tt6485304,movie,Quién te cantará,Quién te cantará,0,2018,,125,"Drama,Music,Mystery",6.9,3475
tt6485666,movie,Mersal,Mersal,0,2017,,172,"Action,Crime,Fantasy",7.5,42298
tt6485776,movie,Golden Slumber,Goldeun seulleombeo,0,2018,,108,"Action,Thriller",5.9,1149
tt6485928,movie,The Land of Steady Habits,The Land of Steady Habits,0,2018,,98,"Comedy,Drama",6.2,9595
tt6486630,movie,Asphyxia,Khafegi,0,2017,,107,"Crime,Drama,Horror",5.4,1470
tt6490394,movie,Jellyfish,Jellyfish,0,2018,,101,Drama,7.2,1400
tt6490930,movie,Project Ithaca,Project Ithaca,0,2019,,85,"Horror,Sci-Fi,Thriller",4.2,1893
tt6490990,movie,JoJo's Bizarre Adventure: Phantom Blood,JoJo's Bizarre Adventure: Phantom Blood,0,2007,,100,"Action,Adventure,Animation",7.8,2084
tt6491170,movie,Fittest on Earth: A Decade of Fitness,Fittest on Earth: A Decade of Fitness,0,2017,,116,Documentary,7.2,1628
tt6491178,movie,Dragged Across Concrete,Dragged Across Concrete,0,2018,,159,"Action,Crime,Drama",6.9,62444
tt6493286,movie,1987: When the Day Comes,1987,0,2017,,129,"Drama,History,Thriller",7.7,8045
tt6493648,movie,Destiny: The Tale of Kamakura,Destiny: Kamakura monogatari,0,2017,,129,"Crime,Drama,Fantasy",6.6,1509
tt6494052,movie,Nenu Local,Nenu Local,0,2017,,138,"Action,Comedy,Romance",6.5,3544
tt6494358,movie,Clive Davis: The Soundtrack of Our Lives,Clive Davis: The Soundtrack of Our Lives,0,2017,,123,"Documentary,Music",7.5,1396
tt6494418,movie,Siberia,Siberia,0,2018,,104,"Crime,Drama,Romance",4.3,18692
tt6495056,movie,Migration,Migration,0,2023,,83,"Adventure,Animation,Comedy",6.6,47706
tt6495094,movie,Little Women,Little Women,0,2018,,112,"Drama,Family",5.3,1577
tt6495526,movie,Gilbert,Gilbert,0,2017,,94,"Biography,Comedy,Documentary",7.6,1158
tt6495770,movie,Action Point,Action Point,0,2018,,85,Comedy,5.2,12762
tt6496236,movie,Danur,Danur: I Can See Ghosts,0,2017,,74,"Horror,Mystery,Thriller",5.3,1252
tt6497898,movie,In Syria,Insyriated,0,2017,,85,"Drama,War",7.1,3123
tt6498526,movie,Purgatory,Chistilishche,0,2017,,55,"Drama,Horror,Thriller",4.3,1638
tt6498644,movie,Eric Clapton: Life in 12 Bars,Eric Clapton: Life in 12 Bars,0,2017,,135,"Biography,Documentary,Music",7.4,2717
tt6499752,movie,Upgrade,Upgrade,0,2018,,100,"Action,Sci-Fi,Thriller",7.5,235325
tt6502580,movie,Chunkzz,Chunkzz,0,2017,,121,Comedy,4.7,1649
tt6502956,movie,Yucatan,Yucatán,0,2018,,129,"Adventure,Comedy",5.6,2512
tt6504538,movie,Danger One,Danger One,0,2018,,101,"Action,Comedy,Crime",5.5,4893
tt6505968,movie,Euthanizer,Armomurhaaja,0,2017,,85,"Drama,Horror,Thriller",6.7,2494
tt6506146,movie,The 3rd Eye,Mata Batin,0,2017,,107,"Drama,Fantasy,Horror",5.1,1847
tt6506264,movie,The Colony,Tides,0,2021,,104,"Action,Adventure,Sci-Fi",5.4,14325
tt6506276,movie,Lemonade,Lemonade,0,2018,,88,Drama,6.8,1239
tt6506346,movie,Angry Neighbors,Angry Neighbors,0,2022,,89,Comedy,4.1,1109
tt6508228,movie,Ghosts of War,Ghosts of War,0,2020,,94,"Fantasy,Horror,Thriller",5.6,13651
tt6509058,movie,Nancy,Nancy,0,2018,,85,"Drama,Mystery,Thriller",6.2,3922
tt6509862,movie,Mr. Long,Misutâ Ron,0,2017,,129,"Action,Crime,Drama",7.0,1835
tt6510332,movie,McQueen,McQueen,0,2018,,111,"Biography,Documentary",7.7,8846
tt6511932,movie,The Beach Bum,The Beach Bum,0,2019,,95,"Comedy,Drama",5.5,26718
tt6512428,movie,Indivisible,Indivisible,0,2018,,119,"Biography,Drama,War",6.0,1542
tt6512784,movie,Haseena,Haseena Parker,0,2017,,135,"Biography,Crime,Drama",5.1,8740
tt6513120,movie,Fighting with My Family,Fighting with My Family,0,2019,,108,"Biography,Comedy,Drama",7.0,93407
tt6513406,movie,Immortal Demon Slayer,Wu Kong,0,2017,,123,"Action,Adventure,Family",5.9,2182
tt6513656,movie,Escape Plan 2: Hades,Escape Plan 2: Hades,0,2018,,93,"Action,Crime,Mystery",3.9,38438
tt6514010,movie,Long Live Brij Mohan,Brij Mohan Amar Rahe,0,2017,,105,"Comedy,Crime,Drama",6.5,3033
tt6514196,movie,Baazaar,Baazaar,0,2018,,137,"Crime,Drama,Thriller",6.5,6492
tt6515200,movie,Two Heads Creek,Two Heads Creek,0,2019,,85,"Comedy,Horror,Thriller",5.3,1561
tt6515342,movie,Knock,Knock,0,2017,,113,Comedy,6.1,4503
tt6515910,movie,The Kindness of Strangers,The Kindness of Strangers,0,2019,,112,Drama,6.6,5622
tt6516314,movie,Piercing,Piercing,0,2018,,81,"Horror,Mystery,Thriller",5.5,9221
tt6516590,movie,Cold Zone,Cold Zone,0,2017,,85,"Action,Sci-Fi",3.6,1241
tt6518270,movie,An Evening with Beverly Luff Linn,An Evening with Beverly Luff Linn,0,2018,,108,"Comedy,Crime",5.8,7226
tt6520954,movie,Debi,Debi,0,2018,,107,"Drama,Horror,Mystery",7.7,5528
tt6521194,movie,Collision,Kollision,0,2019,,117,Drama,6.5,1080
tt6521776,movie,Open 24 Hours,Open 24 Hours,0,2018,,102,Horror,5.5,6181
tt6521876,movie,Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,0,2019,,105,"Action,Adventure,Comedy",5.6,30696
tt6522398,movie,Katamarayudu,Katamarayudu,0,2017,,146,"Action,Comedy",5.5,3035
tt6522546,movie,Spyder,Spyder,0,2017,,155,"Action,Crime,Thriller",6.3,12470
tt6522634,movie,The Lost Brother,El otro hermano,0,2017,,112,"Crime,Drama,Thriller",6.5,1879
tt6522668,movie,Diamantino,Diamantino,0,2018,,96,"Comedy,Drama,Fantasy",6.3,3338
tt6522982,movie,Molly,Molly,0,2017,,95,"Action,Sci-Fi",4.2,1139
tt6523174,movie,Hunting Emma,Jagveld,0,2017,,102,"Action,Thriller",5.9,1623
tt6523720,movie,The Quake,Skjelvet,0,2018,,106,"Action,Drama,Thriller",6.2,16545
tt6525952,movie,Enemy Within,Enemy Within,0,2019,,109,"Action,Drama,History",4.8,1093
tt6527426,movie,Zero,Zero,0,2018,,164,"Comedy,Drama,Romance",5.2,33182
tt6527456,movie,Asphalt Burning,Børning 3,0,2020,,101,"Action,Comedy",5.2,3086
tt6527586,movie,Close Enemies,Frères ennemis,0,2018,,111,"Drama,Thriller",6.4,3183
tt6528290,movie,Knights of the Zodiac,Knights of the Zodiac,0,2023,,112,"Action,Adventure,Drama",4.4,18437
tt6531196,movie,Ascharyachakit!,Ascharyachakit!,0,2018,,90,"Drama,Romance",4.9,1135
tt6531872,movie,Chaamp,Chaamp,0,2017,,120,Sport,6.5,1143
tt6532374,movie,Swimming with Men,Swimming with Men,0,2018,,96,"Comedy,Drama,Sport",6.4,4765
tt6533240,movie,Night Hunter,Night Hunter,0,2018,,98,"Action,Adventure,Crime",6.0,32491
tt6535880,movie,Haunt,Haunt,0,2019,,92,"Horror,Thriller",6.3,45968
tt6537238,movie,Salyut-7: The True Story of the Soviet 'Apollo 13',Salyut-7,0,2017,,111,"Adventure,Drama,History",7.2,13091
tt6537508,movie,Behen Hogi Teri,Behen Hogi Teri,0,2017,,128,Comedy,5.6,2764
tt6539750,movie,Happy Happy Joy Joy: The Ren & Stimpy Story,Happy Happy Joy Joy: The Ren & Stimpy Story,0,2020,,104,Documentary,7.1,1060
tt6539992,movie,Embattled,Embattled,0,2020,,117,"Action,Drama,Sport",6.5,4077
tt6542108,movie,Patrick the Pug,Patrick,0,2018,,94,"Comedy,Family,Romance",5.9,4758
tt6543652,movie,Cold War,Zimna wojna,0,2018,,89,"Drama,Music,Romance",7.5,65675
tt6544220,movie,The Mandela Effect,The Mandela Effect,0,2019,,79,"Drama,Horror,Sci-Fi",5.8,5817
tt6545212,movie,Leera the Soulmate,Leera the Soulmate,0,2018,,104,,4.7,2194
tt6546810,movie,The Jump,Suolis,0,2020,,84,"Documentary,History",8.3,1157
tt6547044,movie,Being Frank,You Can Choose Your Family,0,2018,,109,Comedy,6.2,2030
tt6547170,movie,Reprisal,Reprisal,0,2018,,89,"Action,Drama,Thriller",4.3,8594
tt6547786,movie,Life Like,Life Like,0,2019,,95,"Drama,Sci-Fi,Thriller",5.4,5223
tt6548966,movie,Fairy Tail: Dragon Cry,Gekijôban Fearî Teiru: Doragon Kurai,0,2017,,85,"Action,Adventure,Animation",6.9,2884
tt6549510,movie,Kill Em All 2,Kill'em All 2,0,2024,,88,Action,4.1,1798
tt6550794,movie,Siew Lup,Siew Lup,0,2016,,82,"Drama,Horror,Romance",4.4,1314
tt6555772,movie,"Love, Surreal and Odd",Tatlim Tatlim,0,2017,,95,"Comedy,Romance",5.6,3862
tt6556552,movie,Momo,Momo,0,2017,,85,Comedy,5.2,1589
tt6556576,movie,Monster Party,Monster Party,0,2018,,89,"Horror,Thriller",5.5,5282
tt6556670,movie,Serial (Bad) Weddings 2,Qu'est-ce qu'on a encore fait au bon Dieu?,0,2019,,99,Comedy,6.1,11016
tt6556890,movie,Batman and Harley Quinn,Batman and Harley Quinn,0,2017,,74,"Action,Adventure,Animation",5.9,16707
tt6557704,movie,Ultra Low,Ultra Low,0,2018,,117,Drama,5.7,3163
tt6559390,movie,The Apparition,L'apparition,0,2018,,144,"Drama,Mystery",6.3,2029
tt6559642,movie,Biz Size Döneriz,Biz Size Döneriz,0,2017,,102,"Comedy,Drama,Romance",5.7,2511
tt6560164,movie,Sweetheart,Sweetheart,0,2019,,82,"Adventure,Horror,Sci-Fi",5.8,11318
tt6561576,movie,Bad Candy,Bad Candy,0,2020,,103,"Horror,Thriller",4.0,3580
tt6562628,movie,Cutterhead,Cutterhead,0,2018,,84,"Drama,Thriller",6.1,2097
tt6563576,movie,The Queen's Corgi,The Queen's Corgi,0,2019,,85,"Animation,Comedy,Family",4.9,8710
tt6565702,movie,X-Men: Dark Phoenix,X-Men: Dark Phoenix,0,2019,,113,"Action,Adventure,Sci-Fi",5.7,228986
tt6566576,movie,Fear Street: Part One - 1994,Fear Street: 1994,0,2021,,107,"Drama,Horror,Mystery",6.2,110791
tt6566768,movie,Native Son,Native Son,0,2019,,104,Drama,5.7,3120
tt6566830,movie,Most Likely to Murder,Most Likely to Murder,0,2018,,90,"Comedy,Mystery,Romance",5.2,1267
tt6569546,movie,Ghouls,Vurdalaki,0,2017,,90,"Action,Fantasy,Horror",4.3,1097
tt6570098,movie,Ainbo,AINBO: Spirit of the Amazon,0,2021,,84,"Adventure,Animation,Comedy",4.9,2568
tt6570372,movie,Gags the Clown,Gags The Clown,0,2018,,89,"Comedy,Horror",4.8,1024
